Amostras;pH;?;Q;T;Li;Na;NH4;K;Mg;Ca;F;CH3COO;CHOO;Cl;NO2;Br;NO3;SO4;CH2(COO)2;C2O4 ;PO4;NH4;NO2;NO3;NID;NOD;NTD;NP;NT;PO4;POD;PTD;PP;PT;COD;CID;CD;HCO3;HCO3;Si;Na;Ca;Mg;K;Fe;Al;Mn;Ba;Cu;Ga;Li;Mo;Ni;Rb;Sr;V;Zn;La;Ce;Pr;Sm;Eu;Gd;Nd;Pb
;;uS cm-1;m3 s-1;  ?C        ;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;ppb;ppb
BM180505;5.6;6.9;0.2;14.9;0.08;46.05;0.90;6.87;2.00;4.29;1.70;3.66;1.94;9.66;0.19;0.12;2.00;2.03;0.01;0.30;0.14;0.03;0.05;0.03;0.07;;;;;0.54;2.70;3.24;;;122.92;13.88;136.75;132;48;114.29;47.41;7.26;3.29;6.06;0.39;1.37;0.005;0.03;0.0035;0.0023;0.04;0.0010;0.0002;0.013;0.044;0.002;0.002;0.002;0.003;0.00033;0.00012;0.00002;0.00012;0.25;0.04
BM180526;6.0;6.6;0.1;13.1;0.08;47.63;0.10;6.80;1.90;4.23;1.60;1.85;1.36;8.89;0.15;0.03;3.12;7.25;0.01;0.17;0.12;0.03;0.04;0.01;0.04;;;;;0.26;2.78;3.04;;;102.00;49.60;151.58;19;;117.14;44.98;8.53;3.70;6.26;0.39;1.59;0.005;0.03;0.0014;0.0019;0.04;0.0009;0.0004;0.013;0.046;0.003;0.043;0.002;0.003;0.00042;0.00021;0.00003;0.00021;0.20;0.05
BM180629;6.7;7.2;0.1;12.5;0.08;59.30;0.10;8.84;2.70;5.78;1.75;1.87;0.86;9.38;0.08;0.03;3.34;9.33;0.01;0.37;0.21;0.03;0.03;1.24;1.27;;;;;0.43;3.78;4.21;;;97.83;11.79;109.58;280;48;135.44;49.85;9.16;3.79;6.98;0.28;0.85;0.006;0.03;0.0008;0.0018;0.04;0.0003;0.0003;0.015;0.053;0.002;0.039;0.002;0.003;0.00033;0.00023;0.00003;0.00015;0.18;0.01
BM180731 ;6.5;7.8;0.1;13.6;0.08;60.36;0.10;8.35;2.60;5.39;1.84;3.84;1.06;8.94;0.25;0.03;3.13;9.69;0.01;0.30;0.20;1.01;0.05;1.50;2.55;;;;;0.56;1.36;1.92;;;118.58;3.53;122.08;25;;111.13;41.96;8.42;3.75;6.00;0.31;0.65;0.006;0.03;0.0011;0.0021;0.03;0.0004;0.0002;0.013;0.048;0.002;0.002;0.001;0.002;0.00028;0.00009;0.00002;0.00012;0.13;0.01
BM180831;6.8;7.9;0.1;14.3;0.08;61.78;0.50;10.05;2.50;6.18;1.53;3.37;1.75;15.88;0.16;0.08;5.74;12.01;0.13;0.77;0.18;0.03;0.06;1.30;1.37;-0.08;6.32;0.62;6.94;0.50;1.97;2.47;;;230.58;29.24;259.86;94;;75.84;249.65;49.53;22.73;24.42;1.36;3.70;0.010;0.02;0.0014;0.0020;0.03;0.0003;0.0012;0.023;0.056;0.001;0.002;0.002;0.003;0.00035;0.00020;0.00001;0.00013;0.24;0.01
BM180929;6.1;9.3;0.1;17.6;0.08;52.05;0.40;12.63;3.50;8.29;1.73;2.87;1.11;16.62;0.16;0.08;5.19;9.26;0.22;0.41;0.12;0.03;0.04;0.02;0.04;;;;;0.49;1.99;2.47;;;224.83;24.22;249.08;81;57;124.19;56.75;12.51;5.66;0.00;0.62;2.27;0.011;0.03;0.0016;0.0029;0.03;0.0002;0.0010;0.025;0.057;0.001;0.002;0.003;0.004;0.00057;0.00027;0.00001;0.00025;0.30;0.03
BM181103 ;6.7;7.5;0.1;17.5;0.08;53.18;0.10;8.72;3.00;7.03;1.84;2.04;0.13;10.27;0.08;0.03;3.31;7.58;0.01;0.59;0.03;0.03;0.06;0.31;0.37;;;;;0.52;1.52;2.04;;;244.00;6.24;250.25;88;48;116.27;41.15;7.58;4.47;7.21;0.50;2.22;0.012;0.02;0.0013;0.0019;0.04;0.0004;0.0009;0.023;0.051;0.001;0.002;0.003;0.004;0.00064;0.00027;0.00001;0.00032;0.37;0.01
BM181204 ;6.5;6.2;0.3;15.8;0.08;39.81;0.10;5.30;1.70;4.42;1.43;1.64;0.99;7.91;0.08;0.03;1.87;7.98;0.01;0.77;0.03;0.03;0.06;0.42;0.48;;;;;0.50;3.00;3.50;;;325.31;5.83;331.14;61;22;95.62;40.35;7.60;3.53;4.81;0.46;3.06;0.008;0.02;0.0013;0.0017;0.04;0.0001;0.0014;0.016;0.040;0.001;0.002;0.003;0.005;0.00071;0.00047;0.00007;0.00025;0.37;0.01
BM190106;5.9;5.3;1.0;17.9;0.08;35.16;0.10;5.36;1.80;4.23;1.46;1.98;0.83;8.12;0.08;0.04;1.80;8.08;0.01;0.73;0.22;0.03;0.04;0.64;0.68;;;;;0.36;2.81;3.18;;;258.08;36.16;294.25;40;29;77.48;31.75;5.86;2.81;4.36;0.36;3.82;0.013;0.02;0.0016;0.0017;0.04;0.0002;0.0034;0.015;0.032;0.001;0.002;0.004;0.006;0.00078;0.00049;0.00001;0.00038;0.42;0.02
